year,month,region,people_assisted,meals_provided
2023,4,Springfield,20937,274452
2023,5,Springfield,21214,297085
2023,6,Springfield,22263,264794
2023,7,Springfield,21105,298906
2023,8,Springfield,22773,314498
2023,9,Springfield,23185,261305
2023,10,Springfield,24744,334914
2023,11,Springfield,25412,342202
2023,12,Springfield,22560,281090
2024,1,Springfield,24099,368039
2024,2,Springfield,26385,353758
2024,3,Springfield,28033,344523
2024,4,Springfield,27132,379088
2024,5,Springfield,27327,413494
2024,6,Springfield,24618,305152
2024,7,Springfield,23050,355455
2024,8,Springfield,22194,361312
2024,9,Springfield,25059,352944
2024,10,Springfield,28915,422307
2024,11,Springfield,29987,401371
2024,12,Springfield,21356,300971
2025,1,Springfield,25264,397506
2025,2,Springfield,24146,339918
2025,3,Springfield,27088,347533
2025,4,Springfield,26527,380973
2025,5,Springfield,25709,339067
2025,6,Springfield,24985,344086
2025,7,Springfield,25939,340447
2025,8,Springfield,24904,348737
2025,9,Springfield,26759,380401
2025,10,Springfield,31357,352102
2025,11,Springfield,36708,393710
2025,12,Springfield,23167,310655
2026,1,Springfield,26655,297465
2026,2,Springfield,28444,353215
2026,3,Springfield,30263,368952
2026,4,Springfield,31699,402343
2020,10,Holyoke,13100,70791
2020,11,Holyoke,13793,47806
2020,12,Holyoke,12386,46340
2021,1,Holyoke,9052,50989
2021,2,Holyoke,9139,49341
2021,3,Holyoke,9148,61962
2021,4,Holyoke,9817,61898
2021,5,Holyoke,11707,66452
2021,6,Holyoke,9687,60599
2021,7,Holyoke,11301,54952
2021,8,Holyoke,13012,57001
2021,9,Holyoke,11658,60814
2021,10,Holyoke,11202,65742
2021,11,Holyoke,14838,50557
2021,12,Holyoke,13911,57325
2022,1,Holyoke,9758,41201
2022,2,Holyoke,11159,51365
2022,3,Holyoke,11103,56466
2022,4,Holyoke,9261,59543
2022,5,Holyoke,9434,56008
2022,6,Holyoke,8521,53915
2022,7,Holyoke,8406,50174
2022,8,Holyoke,10293,50944
2022,9,Holyoke,9180,47434
2022,10,Holyoke,10337,65477
2022,11,Holyoke,10365,50481
2022,12,Holyoke,9805,54605
2023,1,Holyoke,10698,56256
2023,2,Holyoke,8485,47026
2023,3,Holyoke,8650,44272
2023,4,Holyoke,8775,55661
2023,5,Holyoke,10190,62357
2023,6,Holyoke,11420,56877
2023,7,Holyoke,10831,60049
2023,8,Holyoke,12279,59005
2023,9,Holyoke,12145,48882
2023,10,Holyoke,14085,85661
2023,11,Holyoke,15297,87633
2023,12,Holyoke,11269,55829
2024,1,Holyoke,12398,67174
2024,2,Holyoke,13749,84200
2024,3,Holyoke,13960,71764
2024,4,Holyoke,13369,89399
2024,5,Holyoke,16657,85315
2024,6,Holyoke,15682,66596
2024,7,Holyoke,15323,83113
2024,8,Holyoke,16338,90743
2024,9,Holyoke,16961,67470
2024,10,Holyoke,18269,109266
2024,11,Holyoke,17860,98114
2024,12,Holyoke,16465,55841
2025,1,Holyoke,15997,77968
2025,2,Holyoke,14346,80129
2025,3,Holyoke,16708,85484
2025,4,Holyoke,16723,86692
2025,5,Holyoke,17346,83630
2025,6,Holyoke,18061,64186
2025,7,Holyoke,17939,78756
2025,8,Holyoke,17599,78467
2025,9,Holyoke,17647,93090
2025,10,Holyoke,17801,85842
2025,11,Holyoke,11635,92861
2025,12,Holyoke,9157,68215
2026,1,Holyoke,9056,78916
2026,2,Holyoke,7610,79444
2026,3,Holyoke,7531,80672
2026,4,Holyoke,8047,90395
